name,prompt,negative_prompt
John Pawson,"John Pawson, ",
Aires Mateus,"Aires Mateus, ",
Alvaro Siza,"Alvaro Siza, ",
Carlo Scarpa,"Carlo Scarpa, ",
Claudio Silvestrin,"Claudio Silvestrin, ",
David Chipperfield,"David Chipperfield, ",
Isay Weinfeld,"Isay Weinfeld, ",
Richard Meier,"Richard Meier, ",
Valerio Olgiati,"Valerio Olgiati, ",
Vector Architects,"Vector Architects, ",
Renzo Piano,"Renzo Piano, ",
Tadao Ando,"Tadao Ando, ",
Alejandro Aravena,"Alejandro Aravena, ",
Louis Kahn,"Louis Kahn, ",
